dataset,method,gs_f1,r_precision,r_recall,replicate_consistency,sem,t_rec_precision,t_rec_recall,tfb_f1,vc,ws_precision,ws_recall
soundlife_vaccine,pearson_corr,0.4957103498262587,0.00274896113427751,0.007529380231252643,0.32891362387964135,,,,0.06410896769753137,,,
soundlife_vaccine,portia,0.347269548328016,0.002166176601454164,0.006503197236975965,0.6601542049285474,,,,0.0,,,
soundlife_vaccine,positive_control,0.5214467740290908,0.0030436676531804333,0.007917872385063831,0.3573060441311867,,,,0.06103324501838818,,,
soundlife_vaccine,ppcor,0.13955236752666253,0.000413683835755695,0.005405615713295446,0.19393744341887037,,,,0.0,,,
soundlife_vaccine,scenic,0.3354197153997893,0.0010224863943276983,0.005594785232602695,0.4162089538996011,,,,0.06881431035834734,,,
soundlife_vaccine,scgpt,0.34390696369247603,5.9805725785818964e-05,0.005282770672792977,0.02550445817565531,,,,0.0063839476928190305,,,
soundlife_vaccine,scprint,0.1510332344454617,9.598086277643841e-06,0.005183402860223585,0.1957009865313373,,,,0.0,,,
xaira_HCT116,geneformer,0.4266190850085636,0.030274168644728285,0.0215802425926612,,0.013599897872281124,3.3371788349357505,2.39146440049428,0.0690005982493893,2.2937854282645276e-08,0.592544990235842,0.6110350142012385
xaira_HCT116,grnboost,0.6782210031255258,0.11460478849960178,0.05506319797653127,,0.039887861452051185,6.0252784380844435,5.636951191194088,0.1429340084202735,3.8345655539728796e-09,0.6133799008562415,0.6093990780835312
xaira_HCT116,negative_control,0.018349477362533496,0.010230158838663208,0.011610739178606905,,6.125436184134659e-05,0.8065906614107266,0.9168420100072825,0.0,2.11099777658319e-08,0.5266931050022533,0.5209912930111282
xaira_HCT116,pearson_corr,0.5672790242396034,0.09302718843636887,0.03699343140510607,,0.024378829863985877,8.777533280044175,7.091297484181737,0.09546511097074481,3.1987825721557783e-09,0.6192457563467028,0.6430236532104111
xaira_HCT116,portia,0.6567370687954336,0.09385696503051212,0.04175625280207928,,0.017829694382616848,5.1845569122225,4.506229308343751,0.12937258439967947,8.004904117342448e-08,0.5983488057683641,0.6029620989896167
xaira_HCT116,positive_control,0.5750916648626266,0.09606770639506619,0.03977526695157335,,0.030542882515520835,9.52753992142395,7.554514619489854,0.07425212878194147,4.3431917617908766e-08,0.6141928796755295,0.6416475299157238
xaira_HCT116,ppcor,0.0,0.007316539804922061,0.010740076195898368,,2.2359626735928e-05,-12.879228096441338,-12.799804826722749,0.0,0.0,0.3307510890791648,0.42634050379475713
xaira_HCT116,scenic,0.5774306624520379,0.05628803460283226,0.024908918556011992,,0.008258475385770587,5.522046400699899,5.024246580449722,0.11464282970678272,6.094575155657367e-08,0.5610019528316058,0.55610238860176
xaira_HCT116,scgpt,0.6417255512877534,0.03918049720565924,0.0228322742892868,,0.004443355431452283,5.097686596100892,3.8382883236012884,0.0,0.0,0.5467628060687998,0.5478131955114774
xaira_HCT116,scprint,0.45726699853432917,0.02915750949570302,0.019245061845560033,,0.011214286672646429,3.886747792041303,3.2481181380061503,0.035600001532772985,6.325046086885777e-08,0.5413008862851134,0.5378076081389394
xaira_HEK293T,geneformer,0.4158868878640316,0.032259235932909205,0.013911713376337873,,0.014878624979568317,6.17906340214578,3.5001792969170302,0.01211327492601673,0.0,0.6148806479113385,0.6194007469118069
xaira_HEK293T,grnboost,0.5295820638473757,0.11662701381486038,0.03123047308994025,,0.030838693782792588,4.054414384581983,4.316938066068878,0.004407907587575144,0.0,0.6592080136402387,0.6064165469692617
xaira_HEK293T,negative_control,0.029940479183546007,0.010820527224705136,0.008441098114172882,,0.00012671485219783565,-0.6588466918284576,-0.5253303067732066,0.0,1.7553567488448607e-08,0.5451210571184996,0.5124512113377382
xaira_HEK293T,pearson_corr,0.36604926649218766,0.10061610812976443,0.022222594887128334,,0.031923323489984376,8.657144208860268,6.414721105769605,0.023410663455307887,0.0,0.6897450980392157,0.6473297902901465
xaira_HEK293T,portia,0.5105785990618816,0.10137821426884883,0.024438139830160105,,0.024445099751477004,5.902759070197577,5.149496645186471,0.0,0.0,0.6265055413469736,0.5865832615148904
xaira_HEK293T,positive_control,0.3444524348604858,0.10140726457793137,0.022390211664173154,,0.033861443978995286,8.829220025523993,6.445701179808749,0.022701773359718846,0.0,0.688541346973572,0.6458784831944843
xaira_HEK293T,ppcor,0.004057377049180327,0.007248337449698613,0.007594801236663933,,2.0136586929614876e-05,-6.847820400955253,-6.120004161296463,0.0,0.0,0.3773239556692242,0.44261151010246097
xaira_HEK293T,scenic,0.3186286774618165,0.036928733011771894,0.012861950542950801,,0.011777248659394328,4.239407099079265,4.613380321258652,0.043620098677998896,0.0,0.5597084398976983,0.5316260653069041
xaira_HEK293T,scgpt,0.5575692631538607,0.02721821876229911,0.014186099248298329,,0.00814376350092464,2.3025073088010926,2.151850865396408,0.002734421070633953,2.9444694071845134e-08,0.5917911338448423,0.5692714737144499
xaira_HEK293T,scprint,0.3384456460307404,0.025450416786917326,0.01073245012399969,,0.012876373334085173,3.6156095496359217,1.7415303831320583,0.008908158647616187,2.0584464266448776e-07,0.5597301790281329,0.517647323566025
